epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.2256,2.71213,23.5726,2.25922,0,0,0,0,2.56625,16.049,2.27103,5e-05,5e-05,5e-05
2,11.873,2.72527,18.361,2.256,0,0,0,0,2.64884,21.7322,2.27592,0.000109455,0.000109455,0.000109455
3,18.6977,2.40894,6.75867,1.8617,0.01187,0.46429,0.01545,0.00685,2.08571,26.8458,1.76735,0.000168317,0.000168317,0.000168317
4,21.7002,1.8889,4.53666,1.51395,0.03411,0.5119,0.04626,0.02318,2.01631,27.127,1.57041,0.000226584,0.000226584,0.000226584
5,24.5396,1.68778,3.45411,1.38741,0.55775,0.07143,0.09344,0.0367,2.00746,15.6711,1.60389,0.000284258,0.000284258,0.000284258
6,27.3939,1.68975,2.87115,1.38907,0.55977,0.23214,0.28129,0.14317,1.98923,5.92315,1.75764,0.000341337,0.000341337,0.000341337
7,30.3724,1.66529,2.83635,1.49159,0.33318,0.33849,0.35383,0.17407,1.90706,8.37879,1.71857,0.000397823,0.000397823,0.000397823
8,33.4926,1.76669,2.79636,1.60431,0.44132,0.35379,0.31458,0.16178,1.97305,6.17756,1.8208,0.000453714,0.000453714,0.000453714
9,36.4063,1.62914,2.65836,1.44915,0.33409,0.35278,0.13452,0.06349,1.79595,4.08435,1.63208,0.000509012,0.000509012,0.000509012
10,39.6376,1.5505,2.05686,1.3634,0.62389,0.3,0.33057,0.18896,1.8359,3.93672,1.6997,0.000563715,0.000563715,0.000563715
11,42.7581,1.49469,1.82612,1.41667,0.25976,0.49405,0.19668,0.09818,1.97909,4.76218,1.80392,0.000617825,0.000617825,0.000617825
12,45.7736,1.45406,1.75483,1.37272,0.75,0.23944,0.33852,0.16089,1.91827,8.42291,1.73332,0.00067134,0.00067134,0.00067134
13,48.6911,1.46127,1.77808,1.30503,0.42756,0.15704,0.14477,0.07126,1.98892,7.38567,1.92841,0.000724262,0.000724262,0.000724262
14,51.8413,1.49689,1.60945,1.32384,0.39055,0.38214,0.13816,0.07562,1.87619,5.34413,1.76517,0.00077659,0.00077659,0.00077659
15,54.8598,1.44536,1.51491,1.31762,0.08326,0.54286,0.14384,0.06489,1.95844,3.28371,1.83866,0.000828323,0.000828323,0.000828323
16,57.8749,1.44893,1.50568,1.32838,0.04033,0.28929,0.06931,0.03341,2.04417,4.09716,1.93671,0.000879463,0.000879463,0.000879463
17,60.8544,1.42618,1.38788,1.29952,0.17418,0.16071,0.14566,0.06615,1.93158,3.83731,1.74946,0.0009208,0.0009208,0.0009208
18,63.7671,1.41003,1.52421,1.29727,0.9063,0.32143,0.37074,0.18861,1.93434,3.41263,1.83352,0.00091585,0.00091585,0.00091585
19,66.5978,1.25887,1.21284,1.24861,0.25959,0.35356,0.26775,0.14839,1.98364,3.42594,1.93442,0.0009109,0.0009109,0.0009109
20,69.4476,1.26167,1.30705,1.2574,0.95033,0.125,0.22682,0.11749,2.06869,3.84486,1.93075,0.00090595,0.00090595,0.00090595
21,72.2047,1.2983,1.33661,1.28755,0.5637,0.125,0.12998,0.07083,1.87624,4.17649,1.84632,0.000901,0.000901,0.000901
22,75.0568,1.33054,1.32977,1.38064,0.27349,0.37138,0.22653,0.14116,1.77877,3.70048,1.83325,0.00089605,0.00089605,0.00089605
23,77.9099,1.22442,1.16524,1.21227,0.28118,0.54563,0.30062,0.14597,1.88148,2.86062,1.83519,0.0008911,0.0008911,0.0008911
24,80.9087,1.31989,1.1738,1.29084,0.23346,0.44089,0.21024,0.09615,1.91534,4.03924,1.94974,0.00088615,0.00088615,0.00088615
25,83.7702,1.29536,1.1764,1.25933,0.06202,0.46111,0.11336,0.05266,1.9987,6.40817,1.9528,0.0008812,0.0008812,0.0008812
26,86.6132,1.23112,1.22508,1.27632,0.13674,0.60119,0.37297,0.18705,1.98706,4.15252,1.89926,0.00087625,0.00087625,0.00087625
27,89.4446,1.23526,1.07402,1.25563,0.4727,0.35086,0.24273,0.11795,1.94491,4.13325,1.83868,0.0008713,0.0008713,0.0008713
28,92.1806,1.25512,1.07425,1.22613,0.25187,0.43681,0.21182,0.08489,2.10207,3.29338,2.03663,0.00086635,0.00086635,0.00086635
29,94.958,1.22722,0.98161,1.25285,0.2566,0.50507,0.19051,0.07654,2.16655,3.38802,2.02266,0.0008614,0.0008614,0.0008614
30,97.7974,1.31141,1.07764,1.30774,0.25471,0.54567,0.24082,0.09665,2.07367,3.33294,2.00205,0.00085645,0.00085645,0.00085645
31,100.621,1.2198,1.03058,1.26455,0.39479,0.45557,0.31337,0.15722,1.99667,3.07501,1.83608,0.0008515,0.0008515,0.0008515
32,103.555,1.10329,0.97823,1.17341,0.22517,0.36071,0.34713,0.18099,1.95649,3.7876,1.83849,0.00084655,0.00084655,0.00084655
33,106.485,1.1778,0.88179,1.20524,0.33972,0.51263,0.42781,0.19971,2.01411,3.48516,1.87815,0.0008416,0.0008416,0.0008416
34,109.504,1.10326,0.89022,1.18742,0.26145,0.40034,0.34442,0.16012,1.91932,3.36144,1.80463,0.00083665,0.00083665,0.00083665
35,112.426,1.08932,0.89823,1.1616,0.4436,0.38849,0.2837,0.11818,1.98763,3.77565,1.8932,0.0008317,0.0008317,0.0008317
36,115.295,1.14976,0.84825,1.17066,0.22448,0.40992,0.24375,0.11283,1.96269,3.70429,1.85847,0.00082675,0.00082675,0.00082675
37,118.188,1.19452,0.86162,1.19398,0.35643,0.24921,0.15855,0.0645,2.06023,3.99683,1.82489,0.0008218,0.0008218,0.0008218
38,124.848,1.10446,0.90364,1.18834,0.1864,0.3478,0.14868,0.0755,2.08335,4.13926,1.87326,0.00081685,0.00081685,0.00081685
39,127.57,1.02645,0.86431,1.09228,0.19534,0.40714,0.31792,0.1668,2.07612,4.04604,1.84524,0.0008119,0.0008119,0.0008119
40,130.187,1.11634,0.9167,1.16136,0.33404,0.50596,0.23699,0.11792,2.14233,3.85949,1.93091,0.00080695,0.00080695,0.00080695
41,132.783,1.07389,0.7938,1.07916,0.64639,0.26128,0.39471,0.18198,2.28779,3.52915,2.1566,0.000802,0.000802,0.000802
42,135.394,1.0527,0.79979,1.12475,0.9089,0.39994,0.50213,0.23601,2.04072,3.44736,2.01118,0.00079705,0.00079705,0.00079705
43,137.928,1.07097,0.7913,1.14021,0.46826,0.54841,0.35224,0.15237,1.98657,3.20651,1.84731,0.0007921,0.0007921,0.0007921
44,140.514,1.02338,0.75598,1.15548,0.46664,0.49841,0.35712,0.14958,2.0743,3.2762,1.89813,0.00078715,0.00078715,0.00078715
45,143.208,0.96362,0.76426,1.11717,0.65179,0.3475,0.43378,0.17542,2.16612,3.21759,2.02197,0.0007822,0.0007822,0.0007822
46,145.778,1.00173,0.89986,1.08763,0.33834,0.582,0.44078,0.17654,2.06642,3.16607,1.97366,0.00077725,0.00077725,0.00077725
47,148.387,0.91056,0.70405,1.0627,0.38382,0.49563,0.34325,0.16317,1.96053,3.32954,1.82589,0.0007723,0.0007723,0.0007723
48,150.999,0.95191,0.72581,1.0922,0.27972,0.52019,0.28769,0.13012,1.90371,3.72683,1.78922,0.00076735,0.00076735,0.00076735
49,153.677,1.01249,0.9191,1.12413,0.35711,0.54104,0.36907,0.17628,1.90528,3.6452,1.84299,0.0007624,0.0007624,0.0007624
50,156.321,0.91872,0.70943,1.09187,0.31763,0.38849,0.30502,0.13698,2.01768,3.8879,1.9298,0.00075745,0.00075745,0.00075745
51,158.885,0.93973,0.72565,1.04697,0.30542,0.29825,0.30048,0.1436,2.08823,3.58468,2.07297,0.0007525,0.0007525,0.0007525
52,161.534,0.88736,0.66908,1.04387,0.35666,0.37718,0.32731,0.16271,2.11461,3.70516,2.1199,0.00074755,0.00074755,0.00074755
53,164.109,0.9126,0.75357,1.05941,0.26781,0.44921,0.25869,0.11617,1.99981,3.76377,1.87416,0.0007426,0.0007426,0.0007426
54,168.086,0.88656,0.65583,1.05457,0.38564,0.37765,0.27182,0.11057,2.06912,4.22755,1.9294,0.00073765,0.00073765,0.00073765
55,173.253,0.85475,0.67953,1.04238,0.44058,0.50378,0.35965,0.16729,2.13536,3.66956,2.05502,0.0007327,0.0007327,0.0007327
56,177.412,0.96226,0.69521,1.08224,0.41378,0.43413,0.32175,0.16994,1.85327,3.57457,1.74137,0.00072775,0.00072775,0.00072775
57,181.664,0.87041,0.61722,1.03998,0.42971,0.58413,0.33704,0.16581,1.91345,3.25072,1.8285,0.0007228,0.0007228,0.0007228
58,185.938,0.92211,0.83963,1.08931,0.33482,0.45913,0.27872,0.12849,2.02474,3.56871,1.96507,0.00071785,0.00071785,0.00071785
59,188.593,0.86507,0.67698,1.06282,0.38868,0.58413,0.28651,0.12852,2.05182,3.6113,2.02539,0.0007129,0.0007129,0.0007129
60,191.16,0.84949,0.70894,1.0552,0.45395,0.48739,0.33511,0.1694,2.11817,4.05318,2.1526,0.00070795,0.00070795,0.00070795
61,196.522,0.88782,0.67351,1.0422,0.58747,0.40908,0.46392,0.21038,2.21856,4.04715,2.25134,0.000703,0.000703,0.000703
62,199.169,0.80969,0.61797,1.03891,0.73459,0.32344,0.39446,0.14919,2.22789,4.02308,2.18488,0.00069805,0.00069805,0.00069805
63,201.806,0.80626,0.61254,1.02721,0.37195,0.33394,0.29162,0.12152,2.05468,4.20005,2.01328,0.0006931,0.0006931,0.0006931
64,204.371,0.8317,0.68481,1.04409,0.35291,0.23577,0.23101,0.10317,2.04404,4.22624,1.95467,0.00068815,0.00068815,0.00068815
65,206.896,0.84728,0.62957,1.07487,0.68305,0.26301,0.34474,0.17304,2.10151,4.11211,2.07469,0.0006832,0.0006832,0.0006832
66,209.481,0.78847,0.56999,1.05883,0.5853,0.30532,0.42846,0.24003,1.98491,4.58751,1.92564,0.00067825,0.00067825,0.00067825
67,212.085,0.84154,0.9527,1.07224,0.29228,0.4127,0.39213,0.20012,1.94242,4.7084,1.81644,0.0006733,0.0006733,0.0006733
68,214.631,0.80468,0.76067,1.06158,0.54884,0.34841,0.3952,0.221,1.8819,4.35805,1.87084,0.00066835,0.00066835,0.00066835
69,217.148,0.85356,0.64708,1.01883,0.21683,0.61984,0.31776,0.1546,1.99958,4.60445,1.97787,0.0006634,0.0006634,0.0006634
70,221.324,0.79088,0.59612,0.98549,0.5117,0.29841,0.35175,0.14257,1.97062,4.06012,1.96336,0.00065845,0.00065845,0.00065845
71,223.943,0.79561,0.55513,0.9752,0.40751,0.50007,0.33851,0.14209,2.01949,3.8422,1.99323,0.0006535,0.0006535,0.0006535
72,226.505,0.79153,0.6044,0.99625,0.307,0.42341,0.29768,0.14448,1.9887,3.58782,2.04053,0.00064855,0.00064855,0.00064855
73,229.146,0.80615,0.54563,0.97523,0.47725,0.39841,0.33602,0.14829,2.05788,3.4122,2.08459,0.0006436,0.0006436,0.0006436
74,231.689,0.78397,0.60463,1.00057,0.41528,0.49022,0.33614,0.16066,1.92598,3.4877,1.98235,0.00063865,0.00063865,0.00063865
75,234.278,0.80643,0.62416,1.00033,0.51459,0.42341,0.46539,0.23049,1.99785,3.32422,2.05795,0.0006337,0.0006337,0.0006337
76,236.872,0.78189,0.56763,0.99924,0.49033,0.60553,0.53791,0.24129,2.00217,3.28131,2.10649,0.00062875,0.00062875,0.00062875
77,239.75,0.79623,0.59464,0.98655,0.54329,0.50915,0.48979,0.26709,1.96016,3.63165,2.05231,0.0006238,0.0006238,0.0006238
78,242.378,0.78174,0.57378,0.98197,0.46416,0.49869,0.4057,0.1974,2.03436,3.88598,2.0456,0.00061885,0.00061885,0.00061885
79,244.997,0.79171,0.53774,0.95654,0.59832,0.52345,0.45928,0.2567,1.9429,4.10329,1.99207,0.0006139,0.0006139,0.0006139
80,247.586,0.80906,0.53868,1.0394,0.46944,0.4339,0.39151,0.19068,1.93625,3.73452,1.97584,0.00060895,0.00060895,0.00060895
81,250.149,0.74594,0.50205,0.96694,0.60877,0.38485,0.44849,0.23817,1.92226,4.11144,1.93924,0.000604,0.000604,0.000604
82,252.768,0.71948,0.52073,0.97099,0.55507,0.51046,0.36128,0.19532,1.94203,3.69283,1.92493,0.00059905,0.00059905,0.00059905
83,255.383,0.66961,0.47576,0.9408,0.51935,0.57743,0.3532,0.1775,2.00697,3.91667,2.01136,0.0005941,0.0005941,0.0005941
84,258.009,0.74278,0.52149,0.99725,0.59082,0.34883,0.34772,0.17531,1.96761,3.72236,2.00661,0.00058915,0.00058915,0.00058915
85,260.534,0.68783,0.48828,0.9773,0.4943,0.41722,0.41063,0.2107,1.98731,3.85495,2.04162,0.0005842,0.0005842,0.0005842
86,263.073,0.65936,0.46659,0.93783,0.49496,0.41258,0.41495,0.22561,1.89765,4.26715,1.91509,0.00057925,0.00057925,0.00057925
87,265.634,0.6845,0.46881,0.95838,0.45014,0.40897,0.36873,0.20069,1.90985,4.10768,1.89831,0.0005743,0.0005743,0.0005743
88,268.125,0.70702,0.54404,0.94079,0.42013,0.51555,0.35118,0.17709,1.90336,3.78611,1.88007,0.00056935,0.00056935,0.00056935
89,270.625,0.70949,0.53139,1.00767,0.45928,0.53566,0.35343,0.19373,1.78771,3.45887,1.82234,0.0005644,0.0005644,0.0005644
90,273.079,0.70078,0.51619,0.94877,0.38413,0.53257,0.36529,0.21092,1.90021,3.58183,1.91604,0.00055945,0.00055945,0.00055945
91,275.614,0.74204,0.50637,1.01594,0.37228,0.52484,0.40532,0.21872,1.92477,3.5082,1.92133,0.0005545,0.0005545,0.0005545
92,278.038,0.67173,0.4847,0.9372,0.44462,0.4127,0.43199,0.20042,1.95712,3.30924,2.0578,0.00054955,0.00054955,0.00054955
93,280.467,0.71111,0.51754,0.95208,0.42308,0.44638,0.44538,0.20246,1.96322,3.18683,2.11058,0.0005446,0.0005446,0.0005446
94,282.895,0.62603,0.45692,0.92546,0.54457,0.33949,0.36038,0.15543,2.00343,3.54237,2.1652,0.00053965,0.00053965,0.00053965
95,285.348,0.67022,0.53141,0.96318,0.5429,0.47063,0.39327,0.18613,1.96092,3.87265,2.05157,0.0005347,0.0005347,0.0005347
96,287.848,0.68077,0.47279,0.93632,0.43663,0.55498,0.39724,0.19118,2.02183,3.82008,2.01296,0.00052975,0.00052975,0.00052975
97,290.262,0.69832,0.49924,0.94209,0.40931,0.54816,0.43303,0.2021,2.05748,3.40211,2.10204,0.0005248,0.0005248,0.0005248
98,292.673,0.69921,0.50559,0.94489,0.3651,0.55913,0.37188,0.19181,2.07568,3.21596,2.15408,0.00051985,0.00051985,0.00051985
99,295.163,0.6452,0.47267,0.93506,0.46053,0.3504,0.35406,0.18619,1.99331,3.52088,2.05965,0.0005149,0.0005149,0.0005149
